"PayPlus - Payment Gateway","פיי פלוס - סליקה"
"API configuration","הגדרות API"
"Sandbox mode","מצב Sandbox"
"Payment Page UID","מזהה UID של דף התשלום"
"api_key__","מפתח API"
"api_secret__","מפתח סודי"
"Display settings","אפשרויות תצוגה"
"Payment form","תצוגת דף סליקה"
"Iframe height","גובה ה-Iframe"
"Payment page"," דף התשלום"
"Use Callback","שימוש ב-callback"
"Hide the Payplus logo in cart","הסתר אייקון של פיי פלוס בסל קניות"
"Send Add Data parameter","שלח פרמטר Add Data בעת יצירת התשלום"
"Hide ID card number on payment page","הסתר שדה ת.ז בדף הסליקה"
"PayPlus default configuration","הגדרות ברירת מחדל בדף תשלום"
"Hide","הסתר"
"Hide payments field","הסתר שדה תשלומים בדף הבליקה"
"Order configuration","אפשרויות תשלום"
"Charge Method","סוג עסקה"
"Charge","תשלום"
"Authorize","אישור ללא תשלום"
"Send email notification from the Payplus system upon successful transaction","שלח אימייל על עסקה מוצלחת ללקוח שלך באמצעות פיי פלוס"
"Send email notification from the Payplus system upon failed transaction","שלח אימייל על עסקה שנכשלה ללקוח שלך באמצעות פיי פלוס"
"Saved credit card","כרטיס אשראי שמור"
"Enable Credit card vault storage","שמירת כרטיסי אשראי"
"Save credit card for later use.","שמור/י כרטיס אשראי לשימוש עתידי"
"Credit card token unavailable","לא ניתן להשתמש בכרטיס זה",
"Currency conversion rounding", "עיגול המרת מטבע",
"Last four digits", "4 ספרות אחרונות",
"Approval number", "מספר אישור",
"Status description", "סטטוס",
"Expiry", "תוקף כרטיס",
"Checkout page response:", "פרטי עסקה"